300052.SZ,open,high,low,close
2016-06-21,22.0300,22.0300,22.0300,22.03
2016-06-22,22.0300,22.0300,22.0300,22.03
2016-06-23,22.0300,22.0300,22.0300,22.03
2016-06-24,22.0300,22.0300,22.0300,22.03
2016-06-27,22.0300,22.0300,22.0300,22.03
2016-06-28,22.0300,22.0300,22.0300,22.03
2016-06-29,22.0300,22.0300,22.0300,22.03
2016-06-30,22.0300,22.0300,22.0300,22.03
2016-07-01,22.0300,22.0300,22.0300,22.03
2016-07-04,22.0300,22.0300,22.0300,22.03
2016-07-05,22.0300,22.0300,22.0300,22.03
2016-07-06,22.0300,22.0300,22.0300,22.03
2016-07-07,22.0300,22.0300,22.0300,22.03
2016-07-08,22.0300,22.0300,22.0300,22.03
2016-07-11,22.0300,22.0300,22.0300,22.03
2016-07-12,22.0300,22.0300,22.0300,22.03
2016-07-13,22.0300,22.0300,22.0300,22.03
2016-07-14,22.0300,22.0300,22.0300,22.03
2016-07-15,22.0300,22.0300,22.0300,22.03
2016-07-18,22.0300,22.0300,22.0300,22.03
2016-07-19,22.0300,22.0300,22.0300,22.03
2016-07-20,22.0300,22.0300,22.0300,22.03
2016-07-21,22.0300,22.0300,22.0300,22.03
2016-07-22,22.0300,22.0300,22.0300,22.03
2016-07-25,22.0300,22.0300,22.0300,22.03
2016-07-26,22.0300,22.0300,22.0300,22.03
2016-07-27,22.0300,22.0300,22.0300,22.03
2016-07-28,22.0300,22.0300,22.0300,22.03
2016-07-29,22.0300,22.0300,22.0300,22.03
2016-08-01,22.0300,22.0300,22.0300,22.03
2016-08-02,22.0300,22.0300,22.0300,22.03
2016-08-03,22.0300,22.0300,22.0300,22.03
2016-08-04,22.0300,22.0300,22.0300,22.03
2016-08-05,22.0300,22.0300,22.0300,22.03
2016-08-08,22.0300,22.0300,22.0300,22.03
2016-08-09,22.0300,22.0300,22.0300,22.03
2016-08-10,22.0300,22.0300,22.0300,22.03
2016-08-11,22.0300,22.0300,22.0300,22.03
2016-08-12,22.0300,22.0300,22.0300,22.03
2016-08-15,22.0300,22.0300,22.0300,22.03
2016-08-16,22.0300,22.0300,22.0300,22.03
2016-08-17,22.0300,22.0300,22.0300,22.03
2016-08-18,22.0300,22.0300,22.0300,22.03
2016-08-19,22.0300,22.0300,22.0300,22.03
2016-08-22,22.0300,22.0300,22.0300,22.03
2016-08-23,22.0300,22.0300,22.0300,22.03
2016-08-24,22.0300,22.0300,22.0300,22.03
2016-08-25,22.0300,22.0300,22.0300,22.03
2016-08-26,22.0300,22.0300,22.0300,22.03
2016-08-29,22.0300,22.0300,22.0300,22.03
2016-08-30,22.0300,22.0300,22.0300,22.03
2016-08-31,22.0300,22.0300,22.0300,22.03
2016-09-01,22.0300,22.0300,22.0300,22.03
2016-09-02,22.2100,23.8900,22.2100,22.44
2016-09-05,22.4500,22.9000,21.2100,21.43
2016-09-06,21.3500,21.4500,20.6000,21.45
2016-09-07,21.2500,21.4000,21.0200,21.1
2016-09-08,21.1900,21.5000,21.0500,21.27
2016-09-09,21.2800,22.0000,21.0300,21.46
2016-09-12,20.7000,20.8700,19.9000,19.9
2016-09-13,20.1000,20.1600,19.6800,19.9
2016-09-14,19.7500,20.1600,19.6100,19.75
2016-09-19,19.8600,20.2000,19.8600,20.01
2016-09-20,20.0200,20.1600,19.8700,19.89
2016-09-21,19.9600,20.0600,19.8400,19.97
2016-09-22,20.1400,20.2900,20.0000,20.03
2016-09-23,20.0100,20.2800,19.9100,19.95
2016-09-26,19.9100,19.9800,18.9000,18.91
2016-09-27,18.8500,19.5100,18.8500,19.49
2016-09-28,19.5000,19.5000,19.1200,19.21
2016-09-29,19.2800,19.3900,19.1500,19.16
2016-09-30,19.1100,19.2300,18.8500,18.92
2016-10-10,19.1300,19.8400,19.0500,19.78
2016-10-11,19.8000,19.8400,19.6300,19.81
2016-10-12,19.7400,20.0900,19.6700,19.9
2016-10-13,19.8500,20.1000,19.8100,20.03
2016-10-14,19.9300,20.0300,19.5400,19.81
2016-10-17,19.8500,19.8900,19.2500,19.41
2016-10-18,19.4100,19.9600,19.4100,19.92
2016-10-19,19.9600,20.7800,19.7100,20.14
2016-10-20,20.0000,20.2400,19.9200,20.22
2016-10-21,20.2600,20.3300,19.7800,20.06
2016-10-24,20.0100,20.3500,19.8700,20.26
2016-10-25,20.2000,20.4300,20.1100,20.19
2016-10-26,20.1900,20.2900,19.9500,20.04
2016-10-27,20.0300,20.3000,20.0000,20.1
2016-10-28,20.0000,20.2300,19.7700,19.81
2016-10-31,19.6100,19.8500,19.3300,19.62
2016-11-01,19.6900,20.0700,19.6300,19.98
2016-11-02,19.9000,20.1500,19.8200,20
2016-11-03,19.9600,20.5800,19.8000,20.23
2016-11-04,20.3800,21.2700,20.2000,20.8
2016-11-07,20.8900,20.9300,20.3900,20.57
2016-11-08,20.6600,20.7900,20.5200,20.64
2016-11-09,20.7000,20.7100,19.8700,20.07
2016-11-10,20.2000,20.6000,20.1800,20.47
2016-11-11,20.5500,20.9900,20.5100,20.87
2016-11-14,20.8800,21.5500,20.6900,20.89
2016-11-15,20.9300,22.9800,20.6500,22.98
2016-11-16,25.2800,25.2800,25.2800,25.28
2016-11-17,25.5000,26.2100,24.4300,25.03
2016-11-18,25.1300,25.6400,24.1300,24.9
2016-11-21,24.7000,24.7900,23.8100,24.17
2016-11-22,24.2000,26.5900,23.9800,26.59
2016-11-23,26.9200,29.2500,26.8000,28.2
2016-11-24,27.4900,28.0000,26.5500,26.9
2016-11-25,26.6600,27.5300,26.0000,26.49
2016-11-28,26.0000,27.5100,25.8200,26.65
2016-11-29,26.1500,28.4700,25.3000,27.2
2016-11-30,26.6400,29.9200,26.5000,29.92
2016-12-01,30.4000,30.5500,28.3100,28.55
2016-12-02,28.3300,30.2000,28.2600,28.77
2016-12-05,27.5600,29.4500,27.1400,28.75
2016-12-06,28.4600,28.8700,25.8800,26
2016-12-07,26.0000,26.5800,25.7500,26.3
2016-12-08,26.3000,27.2400,25.7000,26.65
2016-12-09,26.2500,27.2800,25.8100,26.18
2016-12-12,25.8400,27.1900,24.9500,25.17
2016-12-13,25.0000,25.9600,24.6700,25.4
2016-12-14,25.0400,25.8500,24.0000,25.05
2016-12-15,25.2900,27.3600,25.2000,26.38
2016-12-16,25.9300,26.8800,25.9300,26.3
2016-12-19,26.1400,26.8800,25.6000,25.89
2016-12-20,25.7000,27.4300,25.5800,27.23
2016-12-21,26.9700,27.5600,26.6500,27.48
2016-12-22,27.2000,27.3400,26.2300,26.34
2016-12-23,26.0000,26.2400,25.1500,25.48
2016-12-26,25.1800,25.9700,25.0100,25.8
2016-12-27,25.5700,25.8500,25.2500,25.26
2016-12-28,25.0200,25.6500,24.0200,24.12
2016-12-29,23.8000,24.5000,23.7300,24.08
2016-12-30,24.2000,24.3500,23.7500,23.9
2017-01-03,23.9200,24.2500,23.8200,24.21
2017-01-04,24.2000,25.0700,23.8800,24.78
2017-01-05,24.4700,24.9400,24.3400,24.52
2017-01-06,24.4200,24.7700,24.2100,24.44
2017-01-09,24.3000,24.4600,23.3800,23.52
2017-01-10,23.3800,23.8800,23.1100,23.26
2017-01-11,23.1100,25.5900,23.0600,24.63
2017-01-12,24.3500,25.5000,24.2100,25.1
2017-01-13,24.8100,25.9900,24.6200,25
